name,itad_id,is_free,has_discount,discount_pct,current_price,regular_price,best_shop,history_low_all,history_low_y1,history_low_m3
Batman: Arkham City,018d937f-067b-70c3-901d-b3e01fb740ec,,,,,,,,,
ALICE VR,018d937f-0838-739d-8bd6-c9a185a9aa03,False,True,92.0,0.79,9.99,GOG,0.29,0.49,0.49
The Devils - A Visual Novel Of WWII,018d937f-5c17-7388-a9b8-fd8d239be69c,False,False,0.0,1.99,1.99,Steam,1.99,1.99,1.99
KillSteel,018d937f-4063-727d-ac33-776078ad0ee4,True,,,0.0,0.0,Steam,,,
Drakensang: The River of Time,018d937f-25e2-71b0-a622-2f303a983632,False,True,11.0,17.88,19.99,Fanatical,1.91,3.99,3.99
Hexologic,018d937f-155f-7382-a1c1-393634586f4e,False,True,50.0,1.49,2.99,Humble Store,0.59,0.74,0.74
Hope Lake,018d937f-103e-7201-8bec-72726593b213,False,False,0.0,7.99,7.99,Steam,0.87,0.95,1.67
Paranormal State: Poison Spring,018d937f-0e77-7324-8828-d28ddf4737af,,,,,,,,,
TVs: The Awakening,018d937f-6361-73bf-b74a-96854b03c4c1,True,,,0.0,0.0,Steam,0.49,,
Demon Blast,018d937f-3ebf-71e2-acb9-e42c07217213,False,False,0.0,14.99,14.99,Steam,4.49,14.99,14.99
Realities,018d937f-190d-705d-bef3-4543f4c2b4c8,True,,,0.0,0.0,Steam,,,
Awesome Metal Detecting,018d937f-262b-709b-9054-bcfa006a881b,False,True,60.0,3.99,9.99,Steam,1.99,3.99,3.99
Family Man,018d937f-1a02-70d5-8795-9bbfdf865132,False,False,0.0,19.99,19.99,Epic Game Store,1.99,1.99,1.99
Corpse Party (2021),018d937f-57e4-7205-9be0-d41cc55c17aa,False,True,50.0,9.99,19.99,Humble Store,9.99,9.99,9.99
Blazing Chrome,018d937f-2643-7320-8197-4a2561a8ae7d,False,True,75.0,4.24,16.99,Humble Store,1.0,3.19,4.24
Amazing Frog? 2,018d937f-78a8-7248-9193-9f12727f166a,False,False,0.0,19.99,19.99,Steam,13.99,13.99,13.99
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,01902bc1-9c67-71ad-a814-747989ab3fd7,False,True,58.0,20.95,49.99,GameBillet,18.55,18.55,20.7
Slash or Die,018d937f-0a99-7191-b55c-99ef4297b423,False,True,27.0,4.4,5.99,Fanatical,0.67,2.99,2.99
Zoo 2: Animal Park,018d937f-45da-735e-a172-e9811410a27b,True,,,0.0,0.0,Steam,,,
REMEDIUM,018d937f-6eff-7374-8fd0-e8bc4ded585c,False,True,35.0,11.69,17.99,Epic Game Store,10.49,10.49,10.49
Super Galaxy Squadron EX Turbo,018d937f-0fd1-7395-9955-e77cdc3897dc,False,True,27.0,7.34,9.99,Fanatical,0.79,0.79,0.79
Bonsai,018d937f-2b70-7215-b1c1-bdb6dc708737,False,False,0.0,0.99,0.99,Steam,0.49,0.99,0.99
Dakar Desert Rally,018d937f-63a9-72c7-ac78-017babda7567,False,True,80.0,5.99,29.99,Epic Game Store,5.99,5.99,5.99
UNI,018d937e-f802-73b0-aa2b-ddfdf4fab52e,False,False,0.0,4.99,4.99,Steam,0.49,0.99,0.99
The Swindle,018d937f-13a3-7033-a626-cf0e6bf88382,False,True,75.0,3.75,14.99,GOG,1.49,2.24,2.24
I am Setsuna,018d937f-12d9-703d-baad-f6d5319c280e,False,False,0.0,39.99,39.99,Newegg,11.99,11.99,11.99
Wizard Warfare,018d937f-3c42-7060-8954-d3261eaea9bc,False,False,0.0,6.99,6.99,Steam,5.59,5.59,5.59
Mechs V Kaijus - Tower Defense,018d962c-64d6-7344-bde5-353282e1a429,,,,,,,,,
Super Space Pug,018d937f-2bd3-70e7-90bc-475e692fa164,False,False,0.0,1.99,1.99,Steam,0.49,0.99,0.99
TeraBlaster,018d937f-03e0-71b7-9d03-eb72cff52826,True,,,0.0,0.0,Steam,0.19,,
Everreach: Project Eden,018d937f-13c9-715f-8e86-ca2248106713,False,True,95.0,1.24,24.99,Epic Game Store,0.94,0.99,1.24
Card Survival: Tropical Island,018d937f-5518-7393-8a28-84c9f8d4f8e8,False,False,0.0,24.99,24.99,Steam,6.99,12.49,12.49
Beeswing,018d937e-ff61-709c-83b1-d40335c124eb,False,False,0.0,4.99,4.99,Steam,0.49,0.99,0.99
Kane's Shadow,018d937f-4075-7231-a936-12f3310beb2f,True,,,0.0,0.0,Steam,,,
Automachef,018d937f-34a8-73c7-8e90-994dc1edb5f6,False,True,87.0,1.94,14.99,Fanatical,1.0,1.25,1.86
Shan Gui (山桂),018d937f-29a1-725b-8ab6-a2fb086884b5,False,False,0.0,0.99,0.99,IndieGala Store,0.49,0.99,0.99
Arsenal of Democracy: A Hearts of Iron Game,018d937f-0862-7269-8c5f-1e0d4a267eee,False,False,0.0,9.99,9.99,AllYouPlay,1.49,2.5,2.5
DOGMAN,018d937f-4810-7162-b750-4073472a93ff,False,False,0.0,2.99,2.99,Steam,1.79,2.99,2.99
Youtubers Life 2,018d937f-4ee6-73fa-8ac2-2b9e4ad0bdb1,False,True,60.0,9.99,24.99,IndieGala Store,5.31,5.31,8.2
Starfighter Aces,018d937f-55ed-72c1-85ac-697b0a107617,False,False,0.0,4.99,4.99,Steam,4.99,4.99,4.99
Last Heroes,018d937f-26a7-707d-8ace-19362b1ec01c,False,True,92.0,0.79,9.99,Steam,0.19,0.53,0.53
Cthulhu: Death Escape / 克苏鲁:死亡逃脱 Prototype,018d9728-7057-7105-be51-c87762c32f18,True,,,0.0,0.0,Steam,,,
Escape Rosecliff Island,018d937f-1599-718c-8bd9-4cac5523cca8,False,False,0.0,4.99,4.99,Steam,0.99,0.99,0.99
