name,itad_id,is_free,has_discount,discount_pct,current_price,regular_price,best_shop,history_low_all,history_low_y1,history_low_m3
Tales of Maj'Eyal,018d937f-1f1f-73bc-a318-abb845ffea74,False,False,0.0,6.99,6.99,GreenManGaming,1.39,3.49,3.49
Leaving Lyndow,018d937e-f008-70c8-9063-1c23878adc05,False,False,0.0,3.99,3.99,Steam,0.79,0.79,0.79
Darkstone,018d937f-362f-72f1-ab4a-b92f63744506,False,True,30.0,4.19,5.99,GOG,0.38,0.38,0.38
HaberDashers,018d937f-425d-713f-ad4d-9dde4a8513eb,True,,,0.0,0.0,Steam,,,
World of Subways 1 – The Path,018d937f-2bcc-71e7-a39a-093d0bdc6192,False,True,17.0,12.42,14.99,GameBillet,2.25,2.25,2.99
EARTHLOCK,018d937f-2f1e-737b-86e7-3e5d3e1e194e,False,True,70.0,8.99,29.99,GOG,2.99,4.49,8.99
No Delivery,018d937f-3888-70b2-8427-52bcf4832de3,False,False,0.0,5.0,5.0,Steam,1.55,1.55,1.55
Eresys,018d937f-6cd4-736d-9db4-0c82ca346e3e,False,True,70.0,2.69,8.99,Steam,1.34,2.33,2.51
Morningstar: Descent to Deadrock,018d937f-047f-731d-bb2e-0b37c0c03cf3,False,True,71.0,2.89,9.99,Fanatical,0.39,1.54,2.89
Fantasy of Expedition,018d937f-4693-71e4-aaf5-fff8a074a7c2,False,False,0.0,9.99,9.99,Steam,3.99,3.99,4.99
AccrO,018d937f-4407-73ae-8ff3-bdf548cb186d,False,False,0.0,0.99,0.99,Steam,0.28,0.49,0.49
Elijah and the Out of this World Adventure,018d937f-4d24-72a3-99c7-12a885c7a390,False,False,0.0,3.99,3.99,Steam,0.49,0.79,1.19
Master Of Pottery,018d937f-3a5c-704b-9dc7-9af081e9e8f5,False,False,0.0,5.99,5.99,Steam,2.39,2.39,2.39
Lucius III,018d937f-260f-7052-babd-8979a0388996,False,False,0.0,19.99,19.99,Fanatical,1.0,2.99,2.99
Jujutsu Kaisen Cursed Clash,018d937f-761d-710a-b61f-0085928ce149,False,True,79.0,12.87,59.99,GameBillet,12.87,12.87,12.87
Fate of the World,018d937f-2055-71b4-865e-e5df37faa99b,False,False,0.0,9.99,9.99,Steam,0.99,4.99,4.99
Space Empires II,018d937f-4813-701c-88aa-96877b09bf0b,False,True,50.0,1.49,2.99,Steam,0.19,0.39,0.39
Citizen Sleeper 2: Starward Vector,018d937f-6ef4-71d9-84a6-4a1ceca3a151,False,True,50.0,12.49,24.99,Humble Store,12.49,12.49,12.49
Shattered Lights,018d937f-1b19-73a8-9803-65e2d96bbd4f,True,,,0.0,0.0,Steam,,,
Cannon Lab 13,018d937f-4ad1-71d1-8b72-7fbcccf789e7,False,False,0.0,0.99,0.99,Steam,0.69,0.99,0.99
Platypus,018d937e-f064-71c8-8ead-6424542f0933,False,False,0.0,3.99,3.99,Fanatical,0.52,2.49,2.49
GALAXIUM,018d937f-388e-7284-a6b9-7ddcc772840d,False,False,0.0,5.99,5.99,Steam,0.99,5.99,5.99
Neon Nexus,018d937f-7168-710f-8950-a94d8656b460,False,False,0.0,1.99,1.99,Steam,1.59,1.99,1.99
The Town of Light,018d937f-3275-7222-9d51-0da4ab078286,False,True,75.0,4.75,18.99,GOG,0.94,2.84,3.13
1982,018d937f-0400-73d0-ae3f-c3abab1a513f,True,,,0.0,0.0,Steam,,,
Magical Battle Cry,018d937f-4b44-730c-a112-7dd942479692,False,False,0.0,19.99,19.99,Steam,2.99,14.99,14.99
Silent Gentlemen,018d937f-0be2-7026-8fc2-936883d6cc4e,False,False,0.0,4.99,4.99,Steam,0.49,0.49,0.49
Emergency 2016,018d937f-08a6-7233-9599-69a9e9fbaa72,,,,,,,,,
Zeal,018d937f-2235-701f-a2f4-facd06c5120b,,,,,,,,,
Chicken Invaders 5,018d937f-1b5a-731f-851e-2e499876e2fa,False,True,58.0,2.09,4.99,Fanatical,1.54,1.84,2.04
The guard of dungeon,018d937f-1936-723c-9d2b-86ee96d1ed32,False,False,0.0,1.99,1.99,Steam,0.5,0.55,0.55
Heroes of Dire,018d937f-13be-7326-873d-81a7987271e5,True,,,0.0,0.0,Steam,,,
Nuckelavee,019269a4-4481-72ad-b4c9-66a66525c30c,False,False,0.0,4.99,4.99,Steam,1.24,1.24,3.99
Freedom Cry,018d937f-27a3-7382-ae61-ee24b6afe33f,False,True,92.0,0.79,9.99,Steam,0.3,0.58,0.79
Lone Fungus,018d937f-5234-701b-b88c-4c472df03494,False,False,0.0,19.99,19.99,Humble Store,5.99,5.99,5.99
Succubus Rem,018d937f-331f-72f4-952d-f5ce0c7fbb7e,,,,,,,,,
Spartans Vs Zombies Defense,018d937f-1066-714b-a074-2dfc5265f2bd,True,,,0.0,0.0,Steam,,,
Democracy 3,018d937f-119f-729b-8a49-68a16f8d0f65,False,False,0.0,24.99,24.99,Steam,4.99,6.24,6.24
Final Fantasy IV (3D Remake),018d937f-5c2a-728c-83d5-2851ba4e9fde,False,True,10.0,15.07,16.81,GamesPlanet FR,6.39,6.39,6.39
Layers of Fear 2 (2019),018d937f-662a-70b5-b8b7-acfb748ff9f8,False,True,92.0,1.65,19.99,GameBillet,1.47,1.47,1.47
Rail Route,018d937f-5203-718b-a971-09be25754f46,False,True,50.0,12.45,24.99,GameBillet,9.99,11.39,11.45
Tomb Raider I-III Remastered Starring Lara Croft,018d937f-74e3-73d9-b346-160764e81c63,,,,,,,,,
"Knowledge, or know Lady",018e12b9-62ab-73f2-8516-51e46122620a,,,,,,,,,
Dinosaur Hunt,018d937f-2ce8-73a7-b4c0-c110ff5ac120,False,True,51.0,0.49,0.99,Steam,0.09,0.49,0.49
Samurai Chess,018d937f-4eb3-7071-be68-03951bf20cfd,False,False,0.0,1.99,1.99,Steam,0.79,0.79,0.79
Red Rage,018d937f-49bd-70d9-bbed-b9c0bf7b6051,False,False,0.0,0.99,0.99,Steam,0.99,0.99,0.99
Fishards,018d937f-507d-72ee-9b0d-3b3a38678779,True,,,0.0,0.0,Steam,5.59,,
Sunless Skies: Sovereign Edition,018d937f-5d8e-73b2-8208-796e9616832d,False,False,0.0,24.99,24.99,Humble Store,8.49,8.49,9.99
Space Pilgrim Episode II: Epsilon Indi,018d937e-f079-7274-b3d8-e2005fffa808,False,True,79.0,0.41,1.99,Fanatical,0.09,0.2,0.38
City of Chains,018d937f-313a-70a3-bd58-7a7aaf6db065,False,False,0.0,8.99,8.99,Steam,0.89,0.89,0.89
Space Hulk: Deathwing Enhanced Edition,018d937f-0a68-709b-bcc7-4d842e4fe130,False,True,90.0,2.99,29.99,GOG,2.99,2.99,2.99
Dragon Saga,018d937f-1f42-7317-963a-a1b28ce4780c,True,,,0.0,0.0,Steam,,,
The Lost Valley,018d937e-e9fb-735c-8bce-153e94fd0530,False,False,0.0,4.99,4.99,Steam,0.99,0.99,0.99
Vertigo 2,018d937f-0deb-70ff-860d-bdf04b96e801,False,False,0.0,29.99,29.99,Humble Store,14.99,14.99,20.99
鋼鉄戦記C21,018d937f-47e3-7137-96aa-1d93b1c7379a,True,,,0.0,0.0,Steam,,,
Krater,018d937f-0637-7305-b541-d6046568cded,False,True,92.0,1.19,14.99,Fanatical,0.69,1.19,1.19
Tactical Breach Wizards,018d937f-32d0-70de-81bd-48b70d97a210,False,False,0.0,19.99,19.99,Steam,11.99,11.99,11.99
Space Tyrant,018d937f-0a48-712b-a6f4-6d48eda90ab6,False,False,0.0,19.99,19.99,Steam,3.99,3.99,3.99
Aliya: Timelink,019310f5-3ee7-710c-b649-5b086c531e38,False,False,0.0,2.99,2.99,Steam,2.48,2.48,2.48
Dungeons & Dragons: Dark Alliance,018d937f-4cfe-70d6-9cf6-07d0b2327027,,,,,,,,,
Silent Hill Homecoming,018d937f-3109-7084-8440-e698d52f2dff,False,True,20.0,31.88,39.99,Fanatical,1.51,3.55,3.55
Marie's Room,018d937f-2d14-72be-959a-b33122d6d27c,True,,,0.0,0.0,Steam,,,
Tales from Candlekeep: Tomb of Annihilation,018d937f-0bbf-711b-9654-94c3f2ce687e,,,,,,,,,
Duke Nukem 3D: 20th Anniversary World Tour,018d937f-0466-7100-aa8a-fa0febd6d19a,False,True,90.0,1.99,19.99,Humble Store,1.18,1.72,1.74
Battle Islands,018d937f-212e-7363-b789-abd8e3a6ee80,True,,,0.0,0.0,Steam,,,
Sector's Edge,018d937f-0189-715c-a2a1-03c3b138397d,,,,,,,,,
.hack//G.U. Last Recode,018d937f-20e8-712f-b481-80cf83bd7044,False,True,91.0,4.36,49.99,GameBillet,3.78,4.22,4.36
Barn Finders,018d937f-363a-70de-9b92-f15f806a2404,False,True,85.0,2.99,19.99,IndieGala Store,2.99,2.99,2.99
Shelter 2,018d937f-1339-70a2-83f3-bddda906ba33,False,True,80.0,4.99,24.99,Steam,1.39,3.74,4.99
下一站江湖Ⅱ,018d975e-2faf-73f7-a4e6-0ab60437b2f9,False,False,0.0,24.99,24.99,Steam,16.99,16.99,16.99
Cyber Hunter,018d937f-43a1-7157-adf2-e535e22a24fb,,,,,,,,,
"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",018d937f-3843-717c-aaa6-fd6a9f6ef1d7,True,,,0.0,0.0,Steam,,,
Dead Effect,018d937f-27c7-7315-935d-b39ee2436c4e,False,True,76.0,1.19,4.99,MacGameStore,0.49,0.99,0.99
Adorables,018d937f-066c-7171-b9c0-62d0811f5288,False,False,0.0,29.99,29.99,Fanatical,0.38,0.49,2.99
Duck Season,018d937f-0433-71f4-a2fa-1ff239dcf384,False,True,40.0,11.99,19.99,Humble Store,11.99,11.99,11.99
Zero Hour,018d937f-4413-7339-b6ed-ffbc2776bf69,False,True,13.0,16.49,18.99,GameBillet,0.76,0.76,0.76
Bloodstained: Curse of the Moon,018d937f-0e26-7046-9eac-44b98ef007cf,False,False,0.0,9.99,9.99,Humble Store,4.99,4.99,4.99
SAO Utils: Beta,018d937f-24be-72cf-ac35-ac599e6fa445,False,False,0.0,3.99,3.99,Steam,3.59,3.59,3.59
SWORD ART ONLINE Alicization Lycoris,018d937f-4008-731e-8860-4f552b359a5c,False,True,57.0,8.68,19.99,GamesPlanet US,6.32,6.77,7.99
Uplink,018d937f-0606-7359-bdff-9af5a53396f3,False,True,80.0,1.99,9.99,IndieGala Store,0.99,1.99,1.99
KnightShift,018d937f-23f5-70a9-a37c-96e6f53ba848,False,True,84.0,0.78,4.99,IndieGala Store,0.48,0.7,0.7
Unfortunate Spacemen,018d937f-26cc-7382-89a4-755d848934f2,True,,,0.0,0.0,Steam,7.49,,
FaceRig,018d937f-13dd-7189-96cb-554d2d94d0db,,,,,,,,,
Omerta - City of Gangsters,018d937e-f822-736e-8822-4e451c91c041,False,True,82.0,2.77,14.99,Fanatical,1.0,2.65,2.65
Barony,018d937f-3653-7229-8bd9-53e6d4c9cf1b,False,True,50.0,9.99,19.99,Epic Game Store,0.99,9.99,9.99
Autobahn Police Simulator 2,018d937f-32b9-70e0-8e51-e1266584ed9f,False,True,20.0,15.91,19.99,GameBillet,6.59,6.59,6.59
DEATH TRAIN - Warning: Unsafe VR Experience,018d937f-00d9-711f-b220-78be22ae2c37,False,False,0.0,19.99,19.99,Steam,3.99,19.99,19.99
The Jackbox Party Pack 2,018d937f-211a-72b3-9e4b-34145e6ed2d2,False,True,45.0,13.74,24.99,Humble Store,4.99,8.74,8.74
Streamer Life Simulator 2,018e61e7-3d06-70fc-82ee-81068e30bf35,False,True,40.0,11.99,19.99,Steam,5.99,5.99,5.99
Antenna,018d937e-f00b-7287-a64b-f3c1a5a00587,True,,,0.0,0.0,Steam,,,
Mortal Online 2,018d937f-3cb6-70a5-934e-7d45cce5ca83,False,False,0.0,39.99,39.99,Steam,12.79,12.79,15.99
Toy Soldiers: Complete,018d937f-2b4f-70cd-bfdf-0dfaef0276e0,False,False,0.0,14.99,14.99,GreenManGaming,3.4,5.09,10.04
Norland,018d937f-6ee4-73f5-858c-2fde32b1d444,False,True,50.0,14.99,29.99,Humble Store,12.9,12.9,12.9
Clicker Heroes 2,018d937f-2dab-73bd-a27b-9eb9461464c5,,,,,,,,,
家有大貓 Nekojishi,018d937e-ff89-7023-a645-e1fadd1e7b33,True,,,0.0,0.0,Steam,,,
Fernbus Simulator,018d937e-f49e-72b8-a22d-c71e0b9ae8fe,False,True,16.0,25.15,29.99,GameBillet,13.49,14.99,14.99
Super Bunny Man,018d937f-1335-72e6-a437-564e1dbe59b6,False,True,50.0,7.49,14.99,Steam,7.49,7.49,7.49
Shattered Pixel Dungeon,018d937f-5e2b-7396-a18d-b0d543e5e878,False,False,0.0,9.99,9.99,Steam,5.49,5.49,5.49
Seek Girl Ⅲ,018d96d2-83c8-7316-ab8c-363f98264403,False,False,0.0,1.99,1.99,Steam,0.49,0.49,0.79
SONIC SUPERSTARS,018d937f-7464-72c3-9c1e-00e571efba01,False,True,73.0,10.99,39.99,Fanatical,10.99,10.99,10.99
A Bird Story,018d937f-24e0-7010-9815-a8c785b0cac8,False,True,23.0,3.08,3.99,Fanatical,0.74,0.79,0.99
Iron Marines,018d937f-0e08-73e1-afa3-af88c5bbcad0,False,True,11.0,13.39,14.99,Fanatical,1.49,4.49,5.24
Low Magic Age,018d937e-f01d-71ee-a89b-13a9489ec154,False,True,70.0,4.49,14.99,Fanatical,2.39,4.49,4.49
Decisive Strike,018d937f-5fc1-70ba-9cfd-b9c74b337b5d,False,False,0.0,0.99,0.99,Steam,0.99,0.99,0.99
Edna & Harvey: The Breakout,018d937f-11cc-71f6-94f2-793c027f900a,False,True,92.0,1.2,14.99,Newegg,1.05,1.2,1.2
Siege Survival: Gloria Victis Prologue,018d937f-45ff-7072-be22-17caabbc9ba5,True,,,0.0,0.0,GOG,,,
Impire,018d937e-f9e1-7033-a076-2a8419009510,False,True,16.0,16.79,19.99,GameBillet,3.23,4.55,4.55
Serious Sam: The Random Encounter,018d937f-24a4-7373-887b-3761a2682782,False,True,85.0,0.74,4.99,Humble Store,0.49,0.74,0.74
Ostriv,018d937f-1374-720c-8cbb-f15b524dd493,False,False,0.0,24.99,24.99,Steam,19.99,19.99,19.99
Drift86,018d937e-f045-7103-bfc8-4b163122d21d,False,False,0.0,1.99,1.99,Fanatical,0.37,0.88,0.88
ScourgeBringer,018d937e-f88f-7026-9b08-83b6c1647207,False,True,83.0,2.86,16.99,GamesPlanet US,1.69,1.69,1.69
Mini Metro,018d937f-089a-719f-a41e-0ff731da0053,False,True,50.0,4.99,9.99,GOG,0.99,4.99,4.99
Surviving the Aftermath,018d937f-3a2d-711c-b2ab-6cf19d90a9f2,False,True,70.0,8.99,29.99,GOG,7.45,7.49,8.06
Yooka-Laylee,018d937f-0091-71e2-a543-6777e89389b0,False,True,21.0,15.89,19.99,Fanatical,3.34,3.99,15.89
UBERMOSH:BLACK,018d937f-2bc0-7210-988a-2b68b5f547e3,False,False,0.0,0.99,0.99,Fanatical,0.27,0.49,0.49
Dark and Light,018d937f-191d-7340-b002-24698c1ca481,False,False,0.0,17.99,17.99,Steam,3.59,3.59,4.85
Dead Rising 4,018d937f-3095-71c8-8f83-52e4870a240e,False,True,85.0,5.99,39.99,Humble Store,3.79,4.73,4.94
Forspoken,018d937f-59ad-711f-837c-62e54230a4ae,False,False,0.0,69.99,69.99,GreenManGaming,20.99,20.99,20.99
Our Life: Beginnings & Always,018d937f-35a6-7233-a2ca-c7d077474287,True,,,0.0,0.0,GOG,,,
Runes of Magic,018d937f-2043-721d-9456-c7e5618a9369,True,,,0.0,0.0,Steam,,,
Just Fishing,018d937f-0a52-7160-987a-b93177f98824,,,,,,,,,
Seek Girl:Fog Ⅰ,018d937f-42c6-70a5-a29b-9d8c30ada080,False,False,0.0,3.99,3.99,Steam,1.59,1.59,1.59
Mouthwashing,018d937f-74a0-7000-8a70-dd240ccebc78,False,False,0.0,12.99,12.99,Humble Store,9.09,9.09,9.09
Car Mechanic Simulator 2015,018d937f-1755-70c2-944d-7f7e91a898de,False,True,90.0,1.99,19.99,Humble Store,1.0,1.09,1.99
Magrunner: Dark Pulse,018d937f-0819-7331-a229-e25c2ead09dc,False,True,90.0,1.99,19.99,GOG,0.8,0.83,0.84
Quadrilateral Cowboy,018d937f-2119-720e-81cd-da6fd7bb08fe,False,False,0.0,19.99,19.99,Steam,6.79,9.99,9.99
We Went Back,018d937f-3e6d-71ca-9798-6f6aa66044d9,True,,,0.0,0.0,Steam,,,
UnMetal,018d937f-40a5-7067-bef0-3a639c96e45d,False,True,80.0,3.99,19.99,Fanatical,3.4,3.4,3.99
We Happy Few,018d937f-1373-711e-826d-f670f88ae5da,False,True,24.0,45.49,59.99,WinGameStore,4.43,11.99,14.99
NEKOPARA Vol. 2,018d937f-1235-71ef-aa4f-f8ab0ea1892d,False,False,0.0,9.99,9.99,Steam,2.99,2.99,2.99
Through the Ages,018d937f-29ec-73ac-bee5-2a29ec26f8db,False,True,30.0,11.19,15.99,Humble Store,7.99,7.99,7.99
Closers,018d937f-0456-7388-9084-d1ae8e2a5c80,True,,,0.0,0.0,Steam,14.99,,
SPORE Galactic Adventures,018d937e-f83a-7067-be9f-d124f523f80d,False,False,0.0,19.99,19.99,Steam,1.99,4.79,4.99
Pid,018d937f-0fe2-70cc-889c-e4dfc20025e8,False,True,80.0,3.99,19.99,GOG,0.99,2.99,2.99
Blue Prince,018d937f-4f0d-70a3-a226-913f086b70d6,False,True,45.0,16.39,29.99,GameBillet,16.39,16.39,16.39
Wallpaper Maker （造物主视频桌面）,018d937f-19f7-7120-8fe3-971c183b5eac,True,,,0.0,0.0,Steam,,,
Overcooked! All You Can Eat,018d937f-4c81-7057-80a4-416c633262f4,False,True,75.0,10.19,39.99,GameBillet,5.99,8.75,8.75
Super Mustache,018d937f-09c8-72d9-bb00-2428b47191f2,False,False,0.0,1.99,1.99,Steam,0.49,0.99,0.99
Sudden Strike 4,018d937f-24a9-7155-983d-a5c569dd8497,False,True,82.0,3.69,19.99,Fanatical,1.0,2.99,2.99
Prince of Persia,018d937e-f8da-72fd-b64c-520e0f82391c,False,True,82.0,1.8,9.99,GreenManGaming,0.99,1.76,1.8
Super Seducer : How to Talk to Girls,018d937f-2d54-712b-bfcc-559c8da68f10,False,True,10.0,11.69,12.99,GamesPlanet US,2.91,3.22,3.22
HROT,018d937f-424c-71c6-b690-f480421a7ca4,False,False,0.0,19.99,19.99,Humble Store,6.79,6.79,6.79
They Can't Stop All Of Us,018d937f-1188-7195-8d3a-4d07e5cd0d85,True,,,0.0,0.0,Steam,,,
Ficket: 追剧引擎,018d937f-617b-71ff-baaf-1ff12caec237,,,,,,,,,
Predator: Hunting Grounds,018d937f-3c6b-70b3-9a7f-30e84461eedb,False,True,85.0,3.0,19.99,GreenManGaming,2.7,2.7,2.7
Megaloot,018d97f0-bb37-7359-9240-bd2954e6da36,False,False,0.0,9.99,9.99,Fanatical,4.99,4.99,4.99
Shelter,018d937f-2e98-73f2-acef-cc124203c965,False,True,80.0,2.99,14.99,Steam,0.92,1.49,1.49
140,018d937f-24ca-70ed-b2da-4f8de3d0f0d5,False,True,80.0,0.99,4.99,GOG,0.99,0.99,0.99
Quern - Undying Thoughts,018d937f-2a1d-71dd-8be6-6ac5c60c831b,False,True,70.0,7.49,24.99,GOG,3.74,3.74,4.99
ASKA,018d937f-6775-70d3-af5c-1f83ad2d6fc3,False,True,20.0,19.99,24.99,Fortuna Digital,10.1,10.1,10.3
PixelJunk Eden,018d937e-ff4c-722b-be25-eac9ddd7b8d9,False,True,11.0,8.89,9.99,Fanatical,0.94,1.99,1.99
Kingdom Rush Vengeance - Tower Defense,018d937f-4633-7126-9978-3bec3d7f1465,,,,,,,,,
One Piece Pirate Warriors 3,018d937f-1a9f-7026-9c0c-8dab96665863,False,True,91.0,3.55,39.99,GameBillet,2.99,3.28,3.48
Cluckmech Oasis,018f8267-2f97-7268-b3d1-cc7db8a3657a,False,True,40.0,5.99,9.99,Steam,5.99,5.99,5.99
Assassin's Creed Valhalla,018d937f-4227-700c-9dbe-1190755ac02c,False,True,77.0,13.5,59.99,GreenManGaming,5.4,5.4,13.5
Starship Corporation,018d937e-ff82-719a-8dbe-4c7b3d7fda14,False,True,16.0,16.88,19.99,Fanatical,2.96,2.99,3.59
Inner Chains,018d937f-1b84-718a-b266-633d11307e72,False,True,85.0,2.99,19.99,Nuuvem,0.85,0.85,0.95
LoveBeat,018d9581-0020-728c-88a3-589791bbda0c,True,,,0.0,0.0,Steam,,,
Age of Conquest IV,018d937f-20f4-7014-9808-392586630c3a,True,,,0.0,0.0,Epic Game Store,,,
Thrive: Heavy Lies The Crown,018d937f-69b1-7050-8de3-0e8587e7dad9,False,True,59.0,11.54,27.99,GameBillet,8.79,8.79,11.09
F.I.S.T.: Forged In Shadow Torch,0192b97c-281f-731a-8706-6fe718a5f8c9,False,False,0.0,15.99,15.99,Steam,4.79,4.79,7.19
HudSight - crosshair overlay,0191a2c8-3824-72ef-86c5-2503ef319299,,,,,,,,,
rFactor 2,018d937f-0c9a-73cc-8594-0121e990f137,False,True,18.0,26.27,31.99,eTail.Market,3.71,3.71,3.78
shapez,018d937f-6344-70e5-a3cb-f619962198e0,False,True,92.0,0.81,9.99,GameBillet,0.75,0.75,0.75
Florence,018d937f-3e2b-7281-a1d3-78b477dd1ca0,False,True,82.0,1.09,5.99,IndieGala Store,1.05,1.05,1.05
Sprocket,018d937f-0e27-723b-9326-3e4baf3f27ef,False,False,0.0,19.99,19.99,Steam,19.99,19.99,19.99
Pool 2D - Poolians,018d937f-1744-719f-9740-69cce0ee2499,True,,,0.0,0.0,Steam,,,
Idle Slayer,018d937f-43ed-7121-8c18-de7396406f0b,True,,,0.0,0.0,Steam,3.99,,
Bang-On Balls: Chronicles,018d937f-4c8b-7188-bb85-cd4dd56b1f37,False,True,75.0,6.15,24.99,GreenManGaming,6.15,6.15,6.15
Shatter,018d937e-e9e3-70ef-80d8-679dbf7a4bad,False,False,0.0,1.99,1.99,Steam,0.49,0.79,0.79
TerraTech,018d937f-2d2f-7172-9f8a-93ddf009651b,False,True,75.0,6.24,24.99,Humble Store,4.99,6.24,6.24
FINAL FANTASY VIII - REMASTERED,018d937f-27eb-720b-97d4-8481ce76842f,False,False,0.0,19.99,19.99,Newegg,7.99,7.99,7.99
Everlasting Summer,018d937f-26b9-7258-8df0-1a2989b89827,True,,,0.0,0.0,Steam,,,
Killsquad,018d937f-35e2-7308-b9ed-3a61c4cb6188,False,True,21.0,15.74,19.99,Fanatical,8.99,15.74,15.74
RollerCoaster Tycoon 2: Triple Thrill Pack,018d937e-feb7-701b-b677-ed92bab7ec9a,False,True,75.0,2.49,9.99,Humble Store,0.99,1.93,2.08
Hitman: Contracts,018d937f-1639-7350-9261-6588f545219c,False,True,90.0,0.89,8.99,GOG,0.66,0.69,0.69
Picross Touch,018d937f-0488-70e0-932f-925561f074c7,True,,,0.0,0.0,Steam,,,
Still Wakes the Deep,018d937f-6ef6-73c9-aeec-1b15c0683681,False,True,79.0,7.52,34.99,GameBillet,5.22,5.22,5.22
Streamer Life Simulator,018d937f-3eb0-711b-bbc3-ed5aaf0cc644,False,True,90.0,1.99,19.99,Steam,1.99,1.99,1.99
Full Throttle Remastered,018d937f-00f0-734f-b5d3-6148a9ba5c5c,False,True,80.0,2.99,14.99,Humble Store,1.49,2.24,2.99
LIGHTNING RETURNS: FINAL FANTASY XIII,018d937f-03f0-7096-8860-582bb708c15a,False,False,0.0,19.99,19.99,GreenManGaming,5.99,5.99,7.99
Steambirds Alliance,018d937f-0df4-72ab-a854-3e295ca83518,,,,,,,,,
Book of Demons,018d937f-1a9f-7026-9c0c-8dab9a1dbd4f,False,True,75.0,6.25,24.99,GOG,2.49,3.74,6.24
Little Big Workshop,018d937f-3863-7361-a82d-3818a896fc15,False,True,83.0,3.35,19.99,GameBillet,2.99,3.35,3.35
SENRAN KAGURA Peach Beach Splash,018d937f-176d-72bc-a57a-19c260c8fc57,False,False,0.0,29.99,29.99,Steam,8.99,8.99,8.99
Death and Taxes,018d937f-3a66-7295-a40a-cd7bdb3b51c2,False,True,87.0,1.69,12.99,GOG,1.68,1.68,1.68
Morphopolis,018d937f-2f06-7273-a44d-becd3a877633,False,False,0.0,3.99,3.99,GOG,0.19,0.79,0.79
BADLAND: Game of the Year Edition,018d937e-fd2d-7387-bae1-a11c05a69172,False,False,0.0,9.99,9.99,Steam,0.99,0.99,0.99
Far Away,018d96ed-344e-71bf-96cf-563b154ab95a,False,False,0.0,12.99,12.99,Steam,5.84,5.84,5.84
Maniac Path,018d937f-4818-71e9-8370-c6b586defce8,False,False,0.0,2.99,2.99,Steam,0.38,0.59,0.59
Xuan-Yuan Sword VII,018d937f-3fc0-70f8-a6b9-d139ab3f0d91,False,False,0.0,34.99,34.99,Epic Game Store,10.49,12.24,34.99
Empire of Sin,018d937e-f05f-73fd-b695-5203dc4578b0,False,True,17.0,33.17,39.99,GameBillet,4.99,8.69,8.76
idleBeer,018d937f-296e-739e-8b86-f0e8f23c9a1a,False,False,0.0,0.99,0.99,Fanatical,0.49,0.99,0.99
Warhammer: Chaos And Conquest,018d937f-3a6b-72a5-97c4-ecda02e39613,True,,,0.0,0.0,Epic Game Store,,,
Infinity Wars: Animated Trading Card Game,018d937f-1794-7028-95a7-2bd05f2a1722,True,,,0.0,0.0,Steam,,,
World War Next,018d9802-4e5a-7266-a62b-b2cdf73eea28,True,,,0.0,0.0,Steam,,,
Legend of Dungeon,018d937f-2d64-717e-9780-0959b3be35a7,False,False,0.0,9.99,9.99,Steam,1.49,9.99,9.99
Fairy Fencer F,018d937f-22c2-728b-828d-00006f1f2a78,False,True,40.0,5.99,9.99,Humble Store,0.99,3.5,4.82
Lethal League Blaze,018d937e-f49a-7117-93e6-bc4f568a9fb9,False,True,50.0,9.99,19.99,Humble Store,9.99,9.99,9.99
Psychonauts 2,018d937f-0607-71c3-8055-586959d04310,False,True,80.0,11.99,59.99,Humble Store,5.99,8.99,11.99
DOOM Eternal: The Ancient Gods - Part Two,018d937f-4d08-72b2-a613-79f3ee0d1f3b,False,True,64.0,7.19,19.99,Fanatical,3.99,5.89,6.59
Age of Steel: Recharge,018d937f-1ef4-7255-b03a-e9169f01d4ae,False,True,15.0,5.7,6.71,GamesPlanet UK,0.73,2.79,2.79
Battle Ram,018d937f-3ebb-73ab-89a3-519da8296625,False,True,95.0,1.49,29.99,Steam,0.39,1.49,1.49
Summer in Mara,018d937e-effb-708d-ad12-6a78dc7df568,False,True,90.0,1.99,19.99,Fanatical,1.99,1.99,1.99
Resurgence,018d937f-08ba-7271-adba-116e2632adb6,False,False,0.0,1.99,1.99,Steam,0.69,1.99,1.99
Hidden Folks,018d937f-331c-7346-bba3-7222611bb6df,False,True,50.0,7.49,14.99,Epic Game Store,2.47,5.99,5.99
Shotgun n  Zombies,018d937f-3e17-73d9-b7f2-fae1bfd5170f,False,True,55.0,0.89,1.99,Steam,0.49,0.89,0.89
LISA: The Painful,018d937f-3a88-733c-9dca-155ae6a5b9f0,False,True,45.0,10.99,19.99,Epic Game Store,2.49,9.99,10.99
Infinitum,018d937f-29ed-7191-a058-ee91923f163e,False,False,0.0,4.99,4.99,Steam,0.49,0.69,0.69
Tell Me Why,018d937f-43cf-721a-a4c3-74642d9c11df,False,False,0.0,19.99,19.99,GreenManGaming,3.99,3.99,3.99
Midas Gold Plus,018d937e-fefd-7314-a46c-917445ecc908,True,,,0.0,0.0,Steam,,,
Gods Will Be Watching,018d937e-f985-730f-a2a2-ffbd97e80763,False,True,85.0,1.49,9.99,MacGameStore,0.99,1.19,1.49
Torment: Tides of Numenera,018d937e-f9c5-7308-a7b8-96f24ab5b2d4,False,True,71.0,9.99,34.99,WinGameStore,6.29,6.29,6.29
